Sno,Name,Author,Type,
1,The leader who had no title,Robin Sharma,Paperback,
2,The Saint The Surfer And The CEO,Robin Sharma,Paperback,
3,Conversation with Yogananda,"Swami Kriyananda,J.Donald Walters",Paperback,
4,The Fountainhead,Ayn Rand,Paperback,
5,The Tipping Point,Malcolm Gladwell,Paperback,
6,Great Applications for Busiss School,Paul Bodine,Paperback,
7,The Power Of Your Subconscious Mind,"Dr.Joseph Murphy,D.R.S.,Ph.D.,D.D.,L.L.D.",Paperback,
8,How Will You Measure Your Life,"Clayton M.Christensen,James Allworth & Karen Dillon",Paperback,
9,7 Secrets Of Shiva ,Devdutt Pattanaik,Paperback,
10,The Innovators Dilemma,Clayton M. Christensen,Paperback,
11,Delivering Happiness,Tony Hsieh,Paperback,
12,Key to Living the Law of Attraction,Jack Canfield & D.D. Watkins,Paperback,
13,Nate Silver The Signal & The Noise,Allen Lane,Hardback,
14,How To Write & Speak Better,Reader's Digest,Hardback,
15,Plays Unpleasant,Bernard Shaw,Paperback,
16,Terry Pratchett,Mort,Paperback,
17,Julius Caesar,Shakespeare,Paperback,
18,Four Tragedies,Shakespeare,Paperback,
19,The 3 mistakes of my Life,Chetan Bhagat,Paperback,
20,Midnight's Children,Salman Rushdie,Paperback,
21,Letters from a Father to His Daughter,Jawaharlal Nehru,Hardback,
22,The Mindgym,-,Paperback,
23,How To Read Better & Faster,Norman Lewis,Paperback,
24,Miracles,Peter Murray,Paperback,
25,I'm ok-You're ok,Thomas A.Harris,Paperback,
26,"Selected Essays,Lectures,and Poems",Ralph Waldo Emerson,Paperback,
27,Thoughts to build on,M.R.Kopmeyer,Paperback,
28,Survival is not enough,Seth Godin,Paperback,
29,Conversations with God Book 2,Neale Donald Walsch,Paperback,
30,Vedic Mathematics,Jagatguru Swami Sri Bharati Krsna Tirthaji Maharaja,Paperback,
31,The Secret,Rhonda Byme,Paperback,
32,Five Point Someone,Chetan Bhagat,Paperback,
33,Winning,Jack Welch with Suzy Welch,Paperback,
34,An Intimate note to the Sincere Seeker,H.H.Sri Sri Ravi Shanker,Hardback,
35,The Speed of Trust,Stephen M.R.Covey,Paperback,
36,The Creation  of Wealth  ,R.M.Lala,Paperback,
37,The White Tiger,Aravind Adiga,Paperback,
38,Principles of Marketing,Philip Kotler,Paperback,
39,The 7 Habits of Highly Effective People,Stephen R. Covey,Paperback,
40,The Aladdin factor,Jack Canfield and Mark Victor Hansen,Paperback,
41,Introduction to Psychology,"Morgan,King,Weisz& Schopler",Paperback,
42,GMAT Review  12 th edition,Wiley,Paperback,
43,Meditations,Marcus Aurelius,Paperback,
